record_id,customer_id,amount,currency,transaction_date,payment_status
FIN05466211,CUST00020,6455.74,EUR,2026-05-14,DELIVERED
FIN38705474,CUST00053,4758.6,USD,2025-07-11,OPEN
FIN79192866,CUST00008,4866.34,USD,2025-09-12,OPEN
FIN61007556,CUST00073,1982.05,EUR,2025-07-07,PENDING
FIN40545567,CUST00016,8972.9,USD,2025-11-29,CANCELLED
FIN00996559,CUST00089,6587.35,USD,2025-11-21,CANCELLED
FIN88376317,CUST00034,1554.98,USD,2026-03-10,CANCELLED
FIN44437961,CUST00027,7751.35,GBP,2026-01-30,DELIVERED
FIN96304610,CUST00074,587.78,USD,2025-08-18,DELIVERED
FIN70787644,CUST00051,5478.24,AUD,2026-04-04,CANCELLED
FIN21068966,CUST00042,6218.23,INR,2026-05-03,CANCELLED
FIN95016565,CUST00050,1683.64,GBP,2026-01-25,PENDING
FIN07126623,CUST00018,3910.3,AUD,2025-07-05,OPEN
FIN38577004,CUST00062,9562.73,INR,2025-10-07,DELIVERED
FIN01901058,CUST00057,8777.05,AUD,2026-01-19,CANCELLED
FIN75794159,CUST00086,8882.86,USD,2026-01-19,OPEN
FIN34097602,CUST00027,743.04,GBP,2025-06-26,DELIVERED
FIN52916392,CUST00032,2434.1,USD,2025-10-04,PENDING
FIN52781173,CUST00083,9742.3,EUR,2025-07-19,CANCELLED
FIN28599553,CUST00079,7626.05,INR,2025-08-09,OPEN
FIN76271432,CUST00069,3363.2,AUD,2025-11-10,OPEN
FIN92303477,CUST00066,2085.69,EUR,2025-07-08,DELIVERED
FIN40856122,CUST00086,3140.48,AUD,2026-02-07,CANCELLED
FIN65070568,CUST00030,1946.58,AUD,2025-09-05,PENDING
FIN29365378,CUST00078,7932.71,INR,2026-03-28,OPEN
FIN15344248,CUST00062,1862.72,EUR,2025-09-02,PENDING
FIN94563526,CUST00075,9108.69,AUD,2025-08-08,OPEN
FIN84542607,CUST00047,6834.97,EUR,2026-03-04,DELIVERED
FIN95592844,CUST00045,5598.26,GBP,2026-05-17,CANCELLED
FIN32555409,CUST00077,4611.12,GBP,2026-05-14,OPEN
FIN63292629,CUST00084,7184.41,AUD,2025-10-20,PENDING
FIN26175829,CUST00007,2656.06,INR,2025-12-27,OPEN
FIN61200249,CUST00097,6516.32,EUR,2026-03-13,CANCELLED
FIN58087832,CUST00074,6017.59,EUR,2025-09-02,PENDING
FIN41309953,CUST00089,8859.76,EUR,2025-06-02,OPEN
FIN93020965,CUST00091,3496.13,USD,2026-02-04,DELIVERED
FIN56446382,CUST00029,6425.59,INR,2025-06-01,CANCELLED
FIN07957960,CUST00014,7120.63,EUR,2026-03-18,DELIVERED
FIN64917948,CUST00045,1514.02,USD,2026-05-24,CANCELLED
FIN98382127,CUST00074,9307.43,GBP,2025-07-16,PENDING
FIN29082653,CUST00069,4684.67,GBP,2025-12-31,PENDING
FIN78598896,CUST00030,1113.07,AUD,2025-11-22,PENDING
FIN31103612,CUST00011,7307.61,GBP,2025-10-17,DELIVERED
FIN94373951,CUST00055,2061.94,USD,2025-09-17,OPEN
FIN77529535,CUST00070,2514.23,GBP,2025-08-14,CANCELLED
FIN21952704,CUST00080,707.73,AUD,2025-11-16,CANCELLED
FIN02699917,CUST00096,5106.5,USD,2026-02-18,DELIVERED
FIN85789111,CUST00068,2947.47,AUD,2025-11-08,OPEN
FIN30711976,CUST00064,8598.21,INR,2026-01-03,DELIVERED
FIN34289415,CUST00074,9541.99,EUR,2025-11-14,OPEN
FIN10579424,CUST00072,7862.47,EUR,2025-10-07,DELIVERED
FIN52964542,CUST00085,1551.9,EUR,2026-04-10,PENDING
FIN30070879,CUST00053,3771.91,INR,2026-01-21,DELIVERED
FIN30624201,CUST00070,3972.87,USD,2025-11-09,CANCELLED
FIN61273857,CUST00081,2451.61,GBP,2026-01-29,DELIVERED
FIN05852278,CUST00081,4545.77,INR,2025-06-20,DELIVERED
FIN16263427,CUST00016,5312.04,EUR,2025-10-03,CANCELLED
