material_id	description	plant	stock_quantity	unit_of_measure	price_per_unit
MAT53895171	ALUMINUM Material	PLANT-A	959	KG	73.02
MAT82274504	RAW-STEEL Material	PLANT-C	681	KG	48.57
MAT94234879	ALUMINUM Material	PLANT-B	427	KG	109.3
MAT81096451	COPPER Material	PLANT-A	100	KG	434.17
MAT31435670	COPPER Material	PLANT-B	862	KG	537.86
MAT52950002	COPPER Material	PLANT-B	123	KG	793.03
MAT67337862	RAW-STEEL Material	PLANT-A	42	KG	29.02
MAT33377120	WOOD Material	PLANT-C	491	KG	86.3
MAT83959183	RAW-STEEL Material	PLANT-A	420	KG	772.01
MAT41133631	PLASTIC Material	PLANT-A	6	KG	281.3
MAT98341628	ALUMINUM Material	PLANT-A	152	KG	191.81
MAT64323951	WOOD Material	PLANT-B	524	KG	123.29
MAT55902120	WOOD Material	PLANT-A	490	KG	203.53
MAT45505722	PLASTIC Material	PLANT-A	7	KG	671.26
MAT64975822	ALUMINUM Material	PLANT-A	727	KG	88.85
MAT75816655	ALUMINUM Material	PLANT-C	978	KG	296.64
MAT53085304	PLASTIC Material	PLANT-C	249	KG	558.05
MAT61242224	COPPER Material	PLANT-C	51	KG	670.23
MAT42883201	COPPER Material	PLANT-A	359	KG	135.48
MAT83463942	ALUMINUM Material	PLANT-C	646	KG	641.9
MAT78159054	ALUMINUM Material	PLANT-C	197	KG	577.78
MAT71823943	RAW-STEEL Material	PLANT-C	891	KG	711.07
MAT13254482	WOOD Material	PLANT-A	938	KG	43.35
MAT59537028	PLASTIC Material	PLANT-A	376	KG	855.14
MAT94713899	ALUMINUM Material	PLANT-B	714	KG	250.14
MAT06447942	WOOD Material	PLANT-B	459	KG	80.81
MAT57854038	ALUMINUM Material	PLANT-B	717	KG	636.28
MAT17708540	WOOD Material	PLANT-C	841	KG	388.02
MAT36022715	ALUMINUM Material	PLANT-B	339	KG	833.63
MAT42142373	ALUMINUM Material	PLANT-A	769	KG	512.42
MAT48226245	RAW-STEEL Material	PLANT-C	267	KG	869.26
MAT23223662	ALUMINUM Material	PLANT-A	479	KG	990.43
MAT24376617	ALUMINUM Material	PLANT-C	689	KG	472.17
MAT93883405	RAW-STEEL Material	PLANT-B	80	KG	364.08
MAT26508502	PLASTIC Material	PLANT-B	706	KG	365.73
MAT75694847	PLASTIC Material	PLANT-C	28	KG	994.63
MAT46737406	RAW-STEEL Material	PLANT-A	405	KG	965.3
MAT81223378	COPPER Material	PLANT-A	809	KG	633.23
MAT03154610	ALUMINUM Material	PLANT-B	37	KG	374.72
